Year,Month,Julian Day,Hour,Incoming Shortwave Radiation,Ambient Air Temperature,Barometric Pressure
2010,1,1,1,1.277,-0.196,101.1
2010,1,1,2,0,-0.266,101.12
2010,1,1,3,1.277,-1.079,101.17
2010,1,1,4,0,-1.912,101.18
2010,1,1,5,0,-2.564,101.17
2010,1,1,6,0,-4.197,101.2
2010,1,1,7,4.472,-4.92,101.22
2010,1,1,8,3.834,-5.419,101.21
2010,1,1,9,28.76,-5.592,101.22
2010,1,1,10,76.7,-5.867,101.22
2010,1,1,11,123.3,-5.128,101.21
2010,1,1,12,173.1,-4.076,101.16
2010,1,1,13,140.5,-3.936,101.12
2010,1,1,14,88.8,-3.798,101.11
2010,1,1,15,88.8,-4.233,101.16
2010,1,1,16,49.83,-5.214,101.23
2010,1,1,17,5.751,-6.255,101.28
2010,1,1,18,0,-7.34,101.33
2010,1,1,19,0,-8.26,101.36
2010,1,1,20,0,-9.14,101.37
2010,1,1,21,0,-9.48,101.35
2010,1,1,22,0,-9.85,101.35
2010,1,1,23,0,-11.43,101.35
2010,1,1,24,0,-11.93,101.33
2010,1,2,1,0,-12.6,101.32
2010,1,2,2,0,-13.16,101.33
2010,1,2,3,-0.639,-13.9,101.37
2010,1,2,4,-6.396,-14.38,101.37
2010,1,2,5,-4.477,-15.08,101.38
2010,1,2,6,0,-14.53,101.39
2010,1,2,7,0,-14.7,101.42
2010,1,2,8,5.117,-15.25,101.46
2010,1,2,9,90.2,-15.14,101.5
2010,1,2,10,282.7,-14.69,101.55
2010,1,2,11,262.8,-14.53,101.58
2010,1,2,12,386.8,-13.84,101.52
2010,1,2,13,240.4,-13.75,101.5
2010,1,2,14,249.3,-13.43,101.49
2010,1,2,15,0.117,-13.66,101.53
2010,1,2,16,84.4,-13.86,101.59
2010,1,2,17,8.95,-14.28,101.6
2010,1,2,18,-6.395,-14.76,101.66
2010,1,2,19,0,-15.3,101.67
2010,1,2,20,0,-15.04,101.68
2010,1,2,21,0,-13.34,101.63
2010,1,2,22,0,-13.31,101.61
2010,1,2,23,1.279,-13.6,101.59
2010,1,2,24,0,-13.67,101.55
2010,1,3,1,0,-13.85,101.55
2010,1,3,2,0,-13.65,101.49
2010,1,3,3,0,-13.92,101.51
2010,1,3,4,-3.198,-14.68,101.47
2010,1,3,5,-1.279,-14.37,101.43
2010,1,3,6,0,-14.08,101.34
2010,1,3,7,0,-13.62,101.34
2010,1,3,8,6.395,-13.25,101.33
2010,1,3,9,47.32,-12.3,101.31
2010,1,3,10,83.8,-11.45,101.25
2010,1,3,11,140.7,-10.41,101.23
2010,1,3,12,0.179,-10.1,101.15
2010,1,3,13,262.1,-9.43,101.09
2010,1,3,14,227.5,-8.83,101.06
2010,1,3,15,95.2,-9.01,101.09
2010,1,3,16,42.18,-9.21,101.11
2010,1,3,17,7.67,-9.3,101.13
2010,1,3,18,0.639,-9.34,101.17
2010,1,3,19,5.114,-9.29,101.19
2010,1,3,20,1.279,-9.35,101.2
2010,1,3,21,3.835,-9.55,101.18
2010,1,3,22,5.114,-9.52,101.17
2010,1,3,23,3.835,-9.68,101.17
2010,1,3,24,0,-9.88,101.13
